"id","titulo","adulto","orcamento","idioma_original","popularidade","data_de_estreia","resumo","receita","duracao","ator_1","ator_2","ator_3","ator_4","ator_5","dirigido_por","escrito_por_1","escrito_por_2","historia_original"
55138,"Barking at the Stars",False,0,"sr",1.0,"1998-06-01","Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.",0.0,95.0,"Dragan Mićanović","Nataša Tapušković","Velimir „Bata“ Živojinović","Nikola Simić","Dragan Jovanović","Zdravko Šotra","","",""
92299,"The Thief Who Came to Dinner",False,0,"en",0.0,"1973-03-01","A computer programmer decides to become a thief. And when he starts making waves an insurance investigator hounds him. He also meets a woman who becomes his accomplice.",0.0,104.0,"Ryan O'Neal","Jacqueline Bisset","Warren Oates","Jill Clayburgh","Charles Cioffi","Bud Yorkin","Walter Hill","",""
31674,"Cousins",False,13000000,"en",13.0,"1989-02-10","Two couples go to a mutual friends wedding, and end up swapping partners.",22030000.0,109.0,"Ted Danson","Isabella Rossellini","Sean Young","William Petersen","Lloyd Bridges","Joel Schumacher","Stephen Metcalfe","",""
5302,"Without You I'm Nothing",False,0,"en",0.0,"1990-05-11","Sandra Bernhard stars in a studio version of her off-Broadway show, blending re-enactments of the original show's pieces with concept vignettes and 'testimonials' to underscore the relationship between a performer and an audience.",1218730.0,90.0,"Sandra Bernhard","Steve Antin","John Doe","Lu Leonard","","John Boskovich","","",""
34563,"Our Family Wedding",False,14000000,"en",14.0,"2010-03-12","The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud.",21409028.0,103.0,"Forest Whitaker","America Ferrera","Carlos Mencia","Regina King","Lance Gross","Rick Famuyiwa","","",""
19333,"Terror of Mechagodzilla",False,0,"ja",3.0,"1975-03-15","In the 15th and final film of the original series, Godzilla comes to the rescue when an alien race rebuilds Mechagodzilla to destroy Earth's cities. A traitorous scientist gives them a second weapon: Titanosaurus. Godzilla would be absent from the screen for 9 years following this film, and the series would be rebooted with 1984's much darker ""Gojira"".",0.0,83.0,"Katsuhiko Sasaki","Tomoko Ai","Akihiko Hirata","Katsumasa Uchida","Goro Mutsumi","Ishirô Honda","Yukiko Takayama","",""
118337,"Zeta One",False,0,"en",2.0,"1969-12-01","Women around the globe begin disappearing when a renegade race of top-heavy aliens from the planet Angvia begin snatching them off the streets.",0.0,84.0,"James Robertson Justice","Charles Hawtrey","Robin Hawdon","Anna Gaël","Brigitte Skay","Michael Cort","Alistair McKenzie","Michael Cort",""
18457,"Dead Weight",False,0,"fr",9.0,"2002-04-10","Prison guard Reggio lets Moltes have a weekly lottery ticket in exchange for his suave relationship advice. When Moltes learns that he has a winning lottery ticket, he breaks out of jail to claim his money. However, Reggio's girlfriend, Pauline , has the ticket with her in Africa. The action involves the odd couple teaming up to find the ticket while being chased by Det. Youssouf , along with the vengeful Turk and the Giant.",0.0,107.0,"Benoît Poelvoorde","Gérard Lanvin","José Garcia","Djimon Hounsou","Rossy de Palma","Alain Berbérian","","",""
14845,"Gray Matters",False,0,"en",4.0,"2006-10-21","Sam and Gray are such a well-matched pair that it is difficult to believe they are brother and sister rather than husband and wife. They both share a love of 1940s movies and dancing, and when they meet Charlie, they have something else in common: They both fall in love with her. Sam must deal with unexpected feelings of jealousy, while Gray struggles to come to terms with her sexual orientation.",0.0,96.0,"Heather Graham","Bridget Moynahan","Tom Cavanagh","Molly Shannon","Rachel Shelley","Sue Kramer","","",""
15152,"OSS 117: Cairo, Nest of Spies",False,0,"fr",12.0,"2006-04-05","Secret agent OSS 117 foils Nazis, beds local beauties, and brings peace to the Middle East.",0.0,99.0,"Jean Dujardin","Bérénice Bejo","Aure Atika","Philippe Lefebvre","Constantin Alexandrov","Michel Hazanavicius","Jean-François Halin","",""
11912,"The Tattoo",False,0,"fr",3.0,"1968-08-17","An art dealer wants to buy a Modigliani, which is tattooed on the back of an old soldier.",0.0,90.0,"Jean Gabin","Louis de Funès","Paul Mercey","Yves Barsacq","Jo Warfield","Denys de La Patellière","Alphonse Boudard","",""
1370,"Rambo III",False,63000000,"en",21.0,"1988-05-24","Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",189015611.0,102.0,"Sylvester Stallone","Richard Crenna","Kurtwood Smith","Spiros Focás","Sasson Gabai","Peter MacDonald","Sylvester Stallone","Sheldon Lettich",""
2665,"Airplane II: The Sequel",False,0,"en",13.0,"1982-12-10","A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past, Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine.",27150534.0,85.0,"Robert Hays","Julie Hagerty","Lloyd Bridges","Chad Everett","Peter Graves","Ken Finkleman","Ken Finkleman","",""
36593,"The Naked Gun 33⅓: The Final Insult",False,30000000,"en",19.0,"1994-03-18","Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.",51132598.0,83.0,"Leslie Nielsen","Priscilla Presley","George Kennedy","O.J. Simpson","Fred Ward","Peter Segal","","",""
97666,"What a Mess!",False,1200000,"ru",1.0,"1995-06-06","The story starts in a Siberia where world's biggest diamond was found. It is so valuable that it may not only pay off the enormous national debt, but also allow every Russian citizen to move to the Canary Islands. However, Mafia plans to steal the massive gem but a notorious thief, Vasia, ruins their plans. Mafia and militia begin chasing him, but soon Vasia learns that he has brothers as between the chase he runs into well known Jewish conductor and a gypsy baron who are triplet brothers.",0.0,143.0,"Valeriy Garkalin","Vera Alentova","Inna Churikova","Leonid Kuravlyov","Lyubov Polishchuk","Vladimir Menshov","","",""
11215,"Baby Boom",False,0,"en",11.0,"1987-09-17","The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.",0.0,110.0,"Diane Keaton","Sam Shepard","Harold Ramis","Kristina Kennedy","Sam Wanamaker","Charles Shyer","Nancy Meyers","Charles Shyer",""
70864,"The Day the Sky Exploded",False,0,"it",0.0,"1958-09-04","Scientists discover that a group of meteors are hurtling on a collison course with Earth, and if they hit, the planet will be destroyed.",0.0,82.0,"Paul Hubschmid","Fiorella Mari","Madeleine Fischer","Ivo Garrani","Dario Michaelis","Paolo Heusch","","",""
82716,"The Watermill Princess",False,0,"cs",1.0,"1994-06-01","",0.0,99.0,"Andrea Černá","Radek Valenta","Yvetta Blanarovičová","Jakub Zindulka","Otto Sevcík","Zdeněk Troška","","",""
174720,"Maksim Perepelitsa",False,0,"ru",0.0,"1955-12-12","Maxim Perepelitsa is a cheerful, mischievous and resourceful young man from a Ukrainian village. He loves to make up stories and invent practical jokes. When he is drafted into the Russian Army, he doesn't stop his antics.",0.0,94.0,"Leonid Bykov","Konstantin Sorokin","Aleksandr Borisov","Nikolay Yakovchenko","Tatyana Pelttser","Anatoli Granik","","",""
200727,"Love, Rosie",False,0,"en",26.0,"2014-10-16","Rosie and Alex are best friends. They are suddenly separated when Alex and his family move from Dublin to America. Can their friendship survive years and miles? Will they gamble everything for true love?",4439431.0,102.0,"Lily Collins","Sam Claflin","Suki Waterhouse","Christian Cooke","Tamsin Egerton","Christian Ditter","Juliette Towhidi","",""
36670,"Never Say Never Again",False,36000000,"en",18.0,"1983-10-07","James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007.",160000000.0,134.0,"Sean Connery","Kim Basinger","Klaus Maria Brandauer","Edward Fox","Barbara Carrera","Irvin Kershner","","",""
12207,"The Legend of Drunken Master",False,0,"cn",15.0,"1994-02-03","Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong must fight against the foreigners using his Drunken Boxing style, and overcome his father's antagonism as well.",0.0,102.0,"Jackie Chan","Anita Mui","Ti Lung","Felix Wong","Liu Chia-Liang","Liu Chia-Liang","Edward Tang","Man-Ming Tong",""
138103,"The Expendables 3",False,90000000,"en",26.0,"2014-08-04","Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",206172544.0,127.0,"Sylvester Stallone","Jason Statham","Harrison Ford","Arnold Schwarzenegger","Mel Gibson","Patrick Hughes","Sylvester Stallone","Creighton Rothenberger",""
161885,"Betty Boop's Hallowe'en Party",False,0,"en",0.0,"1933-11-03","Betty Boop hosts a Hallowe'en party with a few uninvited guests.",0.0,7.0,"Bonnie Poe","","","","","Dave Fleischer","","",""
39064,"Joni's Promise",False,0,"id",0.0,"2005-04-26","A film delivery man promises a beautiful young woman to deliver a film reel on time to a movie theater. But the the whole city seems to conspire against him.",0.0,83.0,"Nicholas Saputra","Mariana Renata","Rachel Maryam","Surya Saputra","Sujiwo Tejo","Joko Anwar","","",""
2295,"Clerks II",False,5000000,"en",15.0,"2006-05-25","A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.",26888376.0,97.0,"Brian O'Halloran","Jeff Anderson","Jason Mewes","Kevin Smith","Rosario Dawson","Kevin Smith","Kevin Smith","",""
60307,"Diary of a Wimpy Kid: Rodrick Rules",False,21000000,"en",15.0,"2011-03-25","Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",72417394.0,99.0,"Zachary Gordon","Devon Bostick","Rachael Harris","Robert Capron","Steve Zahn","David Bowers","Gabe Sachs","Jeff Judah",""
14400,"The Heir Apparent: Largo Winch",False,25412760,"fr",13.0,"2008-12-17","After a powerful billionaire is murdered, his secret adoptive son must race to prove his legitimacy, find his father's killers and stop them from taking over his financial empire.",0.0,108.0,"Tomer Sisley","Kristin Scott Thomas","Mélanie Thierry","Predrag 'Miki' Manojlović","Karel Roden","Jérôme Salle","Julien Rappeneau","Jérôme Salle",""
172390,"Tom Sawyer & Huckleberry Finn",False,0,"en",1.0,"2014-10-23","The adventure unfolds as Tom Sawyer and Huck Finn - Tom's friend from the streets - witness a murder in the graveyard. Tom and Huck flee to Jackson Island and make a pact never to tell anyone about the incident. However, when the good-natured Muff Potter, who has been blamed for the murder is sentenced to death by hanging, Tom breaks his promise and returns to exonerate Muff Potter. In jun Joe, the actual murderer, makes a hasty exit from the courtroom during the trial. A short time later, Tom and Huck find references to a treasure and have to face In jun Joe again.",0.0,90.0,"Val Kilmer","Katherine McNamara","Jake T. Austin","Joel Courtney","Noah Munck","Jo Kastner","","",""
81512,"Many Rivers to Cross",False,0,"en",0.0,"1955-02-04","Packaged and sold as an outdoor actioner, Many Rivers to Cross is as much a comedy as anything else. Robert Taylor stars as 18th century trapper Bushrod Gentry, who is himself entrapped into marriage by the spunky Mary Stuart Cherne (Eleanor Parker). Escaping his marital responsibilities (which were impressed upon him on threat of death), Gentry heads into the North Country, with Mary in hot pursuit. Hero and heroine spend the rest of the picture taking turns rescuing each other from hostile Indians. Some of the humor is predicated upon the wholesale slaughter of the ""redskins"", and as such is a bit hard to take when seen today. Supporting Taylor and Parker are Victor McLaglen as the heroine's burly father, and TV-stars-to be James Arness (Gunsmoke) and Russell Johnson and Alan Hale Jr. (Gilligan's Island).",0.0,95.0,"Robert Taylor","Eleanor Parker","Victor McLaglen","Jeff Richards","Russ Tamblyn","Roy Rowland","Harry Brown","Guy Trosper",""
43362,"Love Is Better Than Ever",False,0,"en",0.0,"1952-02-23","The dancing teacher Anastasia falls in love with the smart theatre agent Jud. He likes her, too, but does not want to give up his solo life at all. Thus she plans a trap for him...",0.0,81.0,"Larry Parks","Elizabeth Taylor","Josephine Hutchinson","Tom Tully","Ann Doran","Stanley Donen","Ruth Brooks Flippen","",""
1636,"Bedazzled",False,48000000,"en",16.0,"2000-10-19","Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",90383208.0,93.0,"Elizabeth Hurley","Brendan Fraser","Frances O'Connor","Orlando Jones","Paul Adelstein","Harold Ramis","Larry Gelbart","Harold Ramis",""
9434,"Grosse Pointe Blank",False,0,"en",13.0,"1997-04-11","Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.",28084357.0,107.0,"John Cusack","Minnie Driver","Dan Aykroyd","Joan Cusack","Alan Arkin","George Armitage","Tom Jankiewicz","D.V. DeVincentis",""
86182,"The Cat and the Canary",False,0,"en",0.0,"1979-11-01","British remake of the classic comedy thriller play. A group of potential heirs gather in a forbidding old house to learn which of them will inherit a fortune. Later, they learn that a flesh-rending maniac is loose.",0.0,98.0,"Honor Blackman","Edward Fox","Michael Callan","Wendy Hiller","Olivia Hussey","Radley Metzger","Radley Metzger","",""
135598,"Bread of Happiness",False,0,"ja",1.0,"2012-01-28","Young married couple Rie (Tomoyo Harada) and Sang (Yo Oizumi) move from Tokyo to Lake Toya in Hokkaido Prefecture to start a bakery restaurant named Mani. Sang bakes bread and his wife Rie makes food that complements the bread. Spring, Summer, Autumn and Winter, the customers leave in a happy state.",0.0,114.0,"Morio Agata","Yuta Hiraoka","Riki Honda","Nobue Iketani","Tomoyo Harada","Yukiko Mishima","","",""
9776,"Head of State",False,0,"en",6.0,"2003-01-01","When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman, Mays Gilliam (Rock) as his replacement .",0.0,95.0,"Chris Rock","Bernie Mac","Dylan Baker","Nick Searcy","Lynn Whitfield","Chris Rock","","",""
36964,"Pucked",False,0,"en",2.0,"2006-01-01","Frank Hopper is a former lawyer, long-term loser and constant dreamer - and frankly, probably just not all that bright. When he receives a credit card in the mail, he believes he's hit the jackpot. It's not long before he's working his way toward financing his dream - an all-woman hockey team. He's also put himself in debt to the tune of more than $300,000. Naturally, he winds up in court when his plan backfires",0.0,83.0,"Jon Bon Jovi","Estella Warren","David Faustino","Curtis Armstrong","Nora Dunn","Arthur Hiller","Matty Simmons","William Dozier",""
9972,"Lock Up",False,24000000,"en",8.0,"1989-08-04","Frank Leone is nearing the end of his prison term for a relatively minor crime. Just before he is paroled, however, Warden Drumgoole takes charge. Drumgoole was assigned to a hell-hole prison after his administration was publicly humiliated by Leone, and has now arrived on the scene to ensure that Leone never sees the light of day.",22099847.0,115.0,"Sylvester Stallone","Donald Sutherland","John Amos","Sonny Landham","Tom Sizemore","John Flynn","","",""
10083,"No Way Out",False,15000000,"en",20.0,"1987-08-14","Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well.",35509515.0,114.0,"Kevin Costner","Gene Hackman","Sean Young","Will Patton","Howard Duff","Roger Donaldson","Robert Garland","",""
81446,"The Baytown Outlaws",False,4000000,"en",13.0,"2012-08-27","When three redneck brothers agree to help a woman save her son from an abusive father, they become targets on the run from an odd cast of characters.",0.0,98.0,"Clayne Crawford","Paul Wesley","Billy Bob Thornton","Eva Longoria","Travis Fimmel","Barry Battles","","",""
10050,"Get Over It",False,10000000,"en",14.0,"2001-03-08","When Berke Landers, a popular high school basketball star, gets dumped by his life-long girlfriend, Allison, he soon begins to lose it. But with the help of his best friend Felix's sister Kelly, he follows his ex into the school's spring musical. Thus ensues a love triangle loosely based upon Shakespeare's ""A Midsummer Night's Dream"", where Berke is only to find himself getting over Allison and beginning to fall for Kelly.",0.0,87.0,"Kirsten Dunst","Ben Foster","Melissa Sagemiller","Colin Hanks","Zoe Saldana","Tommy O'Haver","","",""
19174,"Dolemite",False,0,"en",2.0,"1975-04-26","Dolemite is a pimp who was set up by Willie Greene and the cops, who have planted drugs, stolen furs, and guns in his trunk and got him sentenced to 20 years in jail. One day, Queen B and a warden planned to get him out of Jail and get Willie Green and Mitchell busted for what they did to him.",0.0,90.0,"Rudy Ray Moore","D'Urville Martin","Lady Reed","Jerry Jones","","D'Urville Martin","Jerry Jones","",""
119564,"Million Dollar Legs",False,0,"en",1.0,"1932-07-08","A small country on the verge of bankruptcy is persuaded to enter the 1932 Los Angeles Olympics as a means of raising money. Either a masterpiece of absurdity or a triumph of satire, depending on your mood, but it's quite possibly the funniest movie ever made, and becomes even funnier with subsequent viewings.",0.0,64.0,"Jack Oakie","W.C. Fields","Andy Clyde","Lyda Roberti","Susan Fleming","Edward F. Cline","","",""
433410,"Self-criticism of a Bourgeois Dog",False,0,"en",0.0,"2017-01-29","A bourgeois dog confesses how he was transformed from being a filmmaker to being four-legged.",0.0,99.0,"Julian Radlmaier","Deragh Campbell","Beniamin Forthi","Beniamin Forthi","Kyung-Taek Lie","Julian Radlmaier","","",""
14815,"The Wind and the Lion",False,0,"en",15.0,"1975-10-26","At the beginning of the 20th century an American woman is abducted in Morocco by Berbers. The attempts to free her range from diplomatic pressure to military intervention.",0.0,119.0,"Sean Connery","Candice Bergen","Brian Keith","John Huston","Geoffrey Lewis","John Milius","","",""
200445,"Where Is Parsifal?",False,0,"en",0.0,"1985-07-19","Tucked away in his castle, a hypochondriac inventor plays generous host to a revolving cast of wacky guests. But to pay off his mounting debts, he must sell either a powerful businessman or a rich gypsy on his latest creation: a laser skywriter.",0.0,0.0,"Tony Curtis","Berta Domínguez D.","Erik Estrada","Peter Lawford","Ron Moody","Henri Helman","","",""
429788,"Aries Spears: Comedy Blueprint",False,0,"en",0.0,"2016-11-24","Armed with his ferociously aggressive style of comedy MADTV alum, Aries Spears, takes the stage in Philadelphia for ""Comedy Blueprint"". No one, not black, not white, not gay, not straight is safe from his jokes and impressions.",0.0,59.0,"Aries Spears","","","","","Mark Altman","","",""
22826,"The Monster",False,0,"it",8.0,"1994-10-22","A vicious serial sex killer is on the loose, and landscape gardener and shop-window outfitter Loris is the prime suspect, thanks to his unfortunate habit of getting caught in compromising situations (for which there is always a totally innocent explanation that the police fail to spot). Undercover policewoman Jessica is assigned by eccentric police psychologist Taccone to follow Loris and ...",0.0,112.0,"Roberto Benigni","Nicoletta Braschi","Michel Blanc","Dominique Lavanant","Jean-Claude Brialy","Roberto Benigni","","",""
258070,"The Broken Jug",False,0,"de",1.0,"1937-10-18","The man who broke the jug, the judge, is trying a case who determine who broke the jug. Long before the evidence becomes conclusive against the suspects, it becomes apparent that the blustering and bullying - and naive - village judge is the guilty one.",0.0,86.0,"Emil Jannings","Friedrich Kayssler","Max Gülstorff","Lina Carstens","Angela Salloker","Gustav Ucicky","Thea von Harbou","",""
149459,"Going Down in Morocco",False,0,"es",1.0,"1989-04-11","A girl, who lives together with her cousin who earns some money by dealing and her boyfriend who is a policeman, is regularly transporting some drugs from Marocco for her cousin. As all of them smoke grass from time to time there is need for more. Deciding to take a friend of hers who has just left home down to Marocco for a transport she gets problems because it is the first time for her friend and this makes it difficult. But as all are very open minded there is no problem they would not try to solve. Written by Volker Boehm",0.0,83.0,"Verónica Forqué","Antonio Banderas","Juan Echanove","Aitana Sánchez-Gijón","Chus Lampreave","Fernando Colomo","Joaquín Oristrell","Fernando Colomo",""
110568,"Island of Love",False,0,"en",0.0,"1963-06-12","Con artist Steve Blair persuades Tony Dallas, a Manhattan gangster, to finance a movie about Adam and Eve by offering the female lead to Tony's stripper girl friend, Cha Cha Miller. The film is such a disaster, however, that Steve and his writer, Paul Ferris, decide to escape on a freighter to Greece. En route, Steve learns that the island of Paradeisos has lost its tourist trade because it has no apparent historical or mythological heritage. Intrigued, he hits upon the scheme of turning Paradeisos into a legendary island of love and taking a cut from all commercial enterprises. After planting Greek antiquities in the waters surrounding the island, Steve induces Paul to ""recover"" them, thus causing the tourist trade to increase.",0.0,113.0,"Robert Preston","Tony Randall","Giorgia Moll","Walter Matthau","Betty Bruce","Morton DaCosta","","",""
20860,"The Stoned Age",False,0,"en",4.0,"1994-12-05","Determined to avoid another night of driving aimlessly around Torrance in the Blue Torpedo, Joe and Hubbs set out on a quest for fine chicks. Their paths soon cross with Tack, from whom they learn about a pair of foreign radical chicks hanging out near the Frankie Avalon place. Over Joe's objections, Hubbs worms Tack out of the deal, and the pair take a slow ride toward their destiny.",0.0,90.0,"Bradford Tatum","Renee Griffin","Clifton Collins Jr","David Groh","Michael Wiseman","James Melkonian","","",""
17126,"Satisfaction",False,0,"en",2.0,"1988-02-12","When a young rock group called The Mystery gets its first gig at a club, it's an opportunity to see what life is all about! Fresh out of high school, the rockers are hired by an exclusive beach resort thanks to a faded '60s songwriter. There, they meet with romance and adventure. But street-smart lead singer Jennie Lee faces a dilemma: pursue her budding career or finish high school.",8.0,92.0,"Liam Neeson","Julia Roberts","Justine Bateman","Trini Alvarado","Deborah Harry","Joan Freeman","","",""
63686,"Thor: Tales of Asgard",False,0,"en",3.0,"2011-05-16","Hungry for adventure, Thor secretly embarks on the journey of a lifetime, joined by his loyal brother Loki, whose budding sorcery equips him with just enough magic to conjure up trouble, along with the Warriors Three - a band of boastful travelers reluctant to set sail on any adventure that might actually be dangerous. But what starts out as a harmless treasure hunt quickly turns deadly, and Thor must now prove himself worthy of the destiny he covets by saving Asgard itself.",3100000.0,77.0,"Christopher Britton","Clancy Brown","Grey Griffin","Paul Dobson","Brian Drummond","Sam Liu","Greg Johnson","",""
10067,"The Shaggy Dog",False,50000000,"en",8.0,"2006-03-09","The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.",61112916.0,98.0,"Tim Allen","Kristin Davis","Danny Glover","Spencer Breslin","Robert Downey Jr.","Brian Robbins","","",""
53155,"Free Hand for a Tough Cop",False,0,"it",1.0,"1976-08-27","Free Hand for a Tough Cop (Italian: Il trucido e lo sbirro, also known as Tough Cop) is an Italian poliziottesco-action film directed in 1976 by Umberto Lenzi. In this movie Tomas Milian plays for the first time Sergio Marazzi aka ""Er Monnezza"", a role that he later played several more times, in Lenzi's Brothers Till We Die (1978, a sort of sequel of this movie), in Destruction Force by Stelvio Massi (1977), in Uno contro l'altro, praticamente amici by Bruno Corbucci (1980), in Francesco Massaro's Il lupo e l'agnello (1980).",0.0,90.0,"Tomás Milián","Nicoletta Machiavelli","Claudio Cassinelli","Claudio Undari","Henry Silva","Umberto Lenzi","","",""
337789,"C'mon, Let's Live a Little",False,0,"en",0.0,"1967-03-03","Standard boy-girl malt shoppe doings, with a free speech on campus sub-plot dropped in.",0.0,84.0,"Bobby Vee","Jackie DeShannon","Eddie Hodges","Suzie Kaye","Patsy Kelly","David Butler","","",""
